Bayesian optimization of sru starts
-------------------------------------------------------------------
1回目
{'dropout': 0.9855760506615988, 'clip': 7.070732643474399, 'weight_decay': 0.0003000320019508965, 'l_rate': 0.04315845980687884}
EPOCH:: 1, (1m 30s) train_cost: 2.685, test_cost: 2.302, train_acc: 0.111, test_acc: 0.110
EPOCH:: 2, (3m 2s) train_cost: 2.303, test_cost: 2.302, train_acc: 0.111, test_acc: 0.110
EPOCH:: 3, (4m 35s) train_cost: 2.302, test_cost: 2.301, train_acc: 0.112, test_acc: 0.110
EPOCH:: 4, (6m 10s) train_cost: 2.302, test_cost: 2.301, train_acc: 0.113, test_acc: 0.110
EPOCH:: 5, (7m 44s) train_cost: 2.302, test_cost: 2.303, train_acc: 0.111, test_acc: 0.110
EPOCH:: 6, (9m 18s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.112, test_acc: 0.110
EPOCH:: 7, (10m 52s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.112, test_acc: 0.110
EPOCH:: 8, (12m 26s) train_cost: 2.302, test_cost: 2.301, train_acc: 0.112, test_acc: 0.110
EPOCH:: 9, (13m 58s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.111, test_acc: 0.110
EPOCH:: 10, (15m 33s) train_cost: 2.302, test_cost: 2.303, train_acc: 0.111, test_acc: 0.105
EPOCH:: 11, (17m 5s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.110, test_acc: 0.110
EPOCH:: 12, (18m 39s) train_cost: 2.302, test_cost: 2.303, train_acc: 0.112, test_acc: 0.110
EPOCH:: 13, (20m 12s) train_cost: 2.303, test_cost: 2.302, train_acc: 0.113, test_acc: 0.110
EPOCH:: 14, (21m 44s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.113, test_acc: 0.110
EPOCH:: 15, (23m 19s) train_cost: 2.302, test_cost: 2.301, train_acc: 0.110, test_acc: 0.110
EPOCH:: 16, (24m 52s) train_cost: 2.302, test_cost: 2.303, train_acc: 0.111, test_acc: 0.097
EPOCH:: 17, (26m 27s) train_cost: 2.302, test_cost: 2.303, train_acc: 0.110, test_acc: 0.105
EPOCH:: 18, (28m 1s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.109, test_acc: 0.110
EPOCH:: 19, (29m 35s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.110, test_acc: 0.110
EPOCH:: 20, (31m 9s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.113, test_acc: 0.110
EPOCH:: 21, (32m 42s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.113, test_acc: 0.110
EPOCH:: 22, (34m 16s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.112, test_acc: 0.103
EPOCH:: 23, (35m 49s) train_cost: 2.302, test_cost: 2.303, train_acc: 0.111, test_acc: 0.110
EPOCH:: 24, (37m 22s) train_cost: 2.302, test_cost: 2.303, train_acc: 0.111, test_acc: 0.110
EPOCH:: 25, (38m 56s) train_cost: 2.302, test_cost: 2.301, train_acc: 0.111, test_acc: 0.110
EPOCH:: 26, (40m 29s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.112, test_acc: 0.110
EPOCH:: 27, (42m 3s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.113, test_acc: 0.110
EPOCH:: 28, (43m 35s) train_cost: 2.302, test_cost: 2.302, train_acc: 0.113, test_acc: 0.110
EPOCH:: 29, (45m 8s) train_cost: 2.302, test_cost: 2.303, train_acc: 0.112, test_acc: 0.110
